Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,Side,StPreDir,StPreType,StName,StType,StDir,StAddr,Nbrhd
USA.StreetAddress,M,90.92,A,"119 Dartmouth Dr SE, Albuquerque, New Mexico, 87106",StreetAddress,Albuquerque,87106,USA,0,-106.612062,35.0804,20083922,2008,3917,Griffin & Associates,119 Dartmouth St. SE, ,Albuquerque,87106,Advertising & Marketing,1990,2170956,8,0.7599,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",412,35,1,1700,35001001700,17,Census Tract 17,G5020,S,2048194,0,35.0792854,-106.6127406, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,119,199,101,L, , ,Dartmouth,Dr,SE,119 Dartmouth Dr SE, 
USA.PointAddress,M,100,A,"2469 Corrales Rd, Corrales, New Mexico, 87048",PointAddress,Corrales,87048,USA,0,-106.641712,35.207377,20151906,2015,1906,Ideum,2469 Corrales Road,Building C,Corrales,87048,Business Products & Services,1999,6005425,35,2.0774,1,35043,NM,Sandoval County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",210,35,43,10601,35043010601,106.01,Census Tract 106.01,G5020,S,15911061,739798,35.2317687,-106.6173076, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,2469, , ,L, , ,Corrales,Rd, ,2469 Corrales Rd, 
USA.StreetAddress,M,92.43,A,"6501 Wyoming Blvd NE, Albuquerque, New Mexico, 87109",StreetAddress,Albuquerque,87109,USA,0,-106.561213,35.153308,20150573,2015,573,InkSoft,6501 Wyoming Blvd.,"Bldg I, Suite 3",Albuquerque,87109,Software,2009,3570000,41,8.015201,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",405,35,1,3724,35001003724,37.24,Census Tract 37.24,G5020,S,1771490,0,35.1510588,-106.5649171, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,6501,6501,7047,L, , ,Wyoming,Blvd,NE,6501 Wyoming Blvd NE, 
USA.PointAddress,M,100,A,"4604 Columbine Ave NE, Albuquerque, New Mexico, 87113",PointAddress,Albuquerque,87113,USA,0,-106.593752,35.185763,20131552,2013,1554,Innovative Technology Partnerships,4604 Columbine Ave. NE, ,Albuquerque,87113,Government Services,1997,18002667,155,2.5594,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",327,35,1,3736,35001003736,37.36,Census Tract 37.36,G5020,S,12778537,129190,35.1740721,-106.594435, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,4604, , ,R, , ,Columbine,Ave,NE,4604 Columbine Ave NE, 
USA.PointAddress,M,100,A,"5203 Juan Tabo Blvd NE, Albuquerque, New Mexico, 87111",PointAddress,Albuquerque,87111,USA,0,-106.516782,35.140189,20140539,2014,539,Las Ventanas Homes,5203 Juan Tabo Blvd. NE, ,Albuquerque,87111,Construction,2010,3139590,8,8.8729,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",409,35,1,3728,35001003728,37.28,Census Tract 37.28,G5020,S,1619608,0,35.1408168,-106.5251236, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,5203, , ,L, , ,Juan Tabo,Blvd,NE,5203 Juan Tabo Blvd NE, 
USA.Postal,M,100,A,"87102, Albuquerque, New Mexico",Postal,Albuquerque,87102,USA,0,-106.644118,35.078616,20073761,2007,3760,McKee Wallwork Cleveland, , ,Albuquerque,87102,Advertising & Marketing,1997,12351000,29,0.7323,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",316,35,1,1500,35001001500,15,Census Tract 15,G5020,S,1172309,0,35.078308,-106.6416509, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
USA.Postal,M,100,A,"87107, Albuquerque, New Mexico",Postal,Albuquerque,87107,USA,0,-106.644238,35.140268,20072586,2007,2586,National Roofing Co., , ,Albuquerque,87107,Construction,1977,11700000,80,1.34,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",387,35,1,3502,35001003502,35.02,Census Tract 35.02,G5020,S,11181547,308983,35.158743,-106.6481898, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
USA.StreetAddress,M,92.43,A,"2500 Louisiana Blvd NE, Albuquerque, New Mexico, 87110",StreetAddress,Albuquerque,87110,USA,0,-106.56871,35.108102,20083848,2008,3843,Omicron Safety & Risk Technologies,"2500 Louisiana Boulevard, Suite 410", ,Albuquerque,87110,Government Services,1996,6923000,55,0.7866,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",354,35,1,122,35001000122,1.22,Census Tract 1.22,G5020,S,2634946,0,35.1091892,-106.5598714, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,2500,2500,2560,R, , ,Louisiana,Blvd,NE,2500 Louisiana Blvd NE, 
USA.Postal,M,100,A,"87109, Albuquerque, New Mexico",Postal,Albuquerque,87109,USA,0,-106.579515,35.152606,20072884,2007,2884,Optomec, , ,Albuquerque,87109,Manufacturing,1982,8309000,47,1.147,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",408,35,1,3725,35001003725,37.25,Census Tract 37.25,G5020,S,2239891,0,35.1537755,-106.5786651, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
USA.Postal,M,100,A,"87124, Rio Rancho, New Mexico",Postal,Rio Rancho,87124,USA,0,-106.716372,35.246319,20073545,2007,3544,Permacharge, , ,Rio Rancho,87124,Manufacturing,1987,5051312,15,0.8252,1,35043,NM,Sandoval County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",229,35,43,10713,35043010713,107.13,Census Tract 107.13,G5020,S,4867100,0,35.2485103,-106.7322148, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
USA.StreetAddress,M,100,A,"920 1st St NW, Albuquerque, New Mexico, 87102",StreetAddress,Albuquerque,87102,USA,0,-106.646521,35.091827,20082120,2008,2114,"Queston Construction, Inc.",920 1st St. NW, ,Albuquerque,87102,Construction,1990,4330804,45,1.7488,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",399,35,1,2700,35001002700,27,Census Tract 27,G5020,S,2984737,0,35.0968969,-106.6518193, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,920,900,998,R, , ,1st,St,NW,920 1st St NW, 
USA.Postal,M,100,A,"87144, Rio Rancho, New Mexico",Postal,Rio Rancho,87144,USA,0,-106.6323,35.288797,20073458,2007,3457,Rio Grande Games, , ,Rio Rancho,87144,Consumer Products & Services,1998,4095000,2,0.8639,1,35043,NM,Sandoval County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",473,35,43,10703,35043010703,107.03,Census Tract 107.03,G5020,S,19162717,0,35.2754736,-106.6455105, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
USA.PointAddress,M,100,A,"7801 Academy Rd NE, Albuquerque, New Mexico, 87109",PointAddress,Albuquerque,87109,USA,0,-106.557661,35.145388,20151501,2015,1501,RiskSense,7801 Academy Rd NE,Ste 1-202,Albuquerque,87109,Security,2006,4673891,31,2.7335,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",405,35,1,3724,35001003724,37.24,Census Tract 37.24,G5020,S,1771490,0,35.1510588,-106.5649171, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,7801, , ,R, , ,Academy,Rd,NE,7801 Academy Rd NE, 
USA.PointAddress,M,100,A,"8600 Paseo Alameda NE, Albuquerque, New Mexico, 87113",PointAddress,Albuquerque,87113,USA,0,-106.608664,35.182377,20082268,2008,2262,Roman Fountains,8600 Paseo Alameda NE,P.O. Drawer 10190,Albuquerque,87113,Manufacturing,1993,6728478,30,1.624,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",328,35,1,3735,35001003735,37.35,Census Tract 37.35,G5020,S,7303805,29997,35.1543692,-106.6144409, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,8600, , ,R, ,Paseo,Alameda, ,NE,8600 Paseo Alameda NE, 
USA.PointAddress,M,100,A,"1501 12th St NW, Albuquerque, New Mexico, 87104",PointAddress,Albuquerque,87104,USA,0,-106.658074,35.10182,20102059,2010,2057,Sacred Power,1501 12th St NW, ,Albuquerque,87104,Energy,2001,6150003,40,1.289,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",403,35,1,2500,35001002500,25,Census Tract 25,G5020,S,3439512,202611,35.0998622,-106.6739398, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,1501, , ,L, , ,12th,St,NW,1501 12th St NW, 
USA.PointAddress,M,100,A,"3831 Singer Blvd NE, Albuquerque, New Mexico, 87109",PointAddress,Albuquerque,87109,USA,0,-106.601382,35.144678,20111842,2011,1842,Sandia Office Supply,3831 Singer Blvd Ne, ,Albuquerque,87109,Retail,0,11486335,32,1.419151,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",327,35,1,3736,35001003736,37.36,Census Tract 37.36,G5020,S,12778537,129190,35.1740721,-106.594435, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,3831, , ,L, , ,Singer,Blvd,NE,3831 Singer Blvd NE, 
USA.PointAddress,M,100,A,"320 Gold Ave SW, Albuquerque, New Mexico, 87102",PointAddress,Albuquerque,87102,USA,0,-106.651335,35.083504,20111272,2011,1273,Source Technologies,320 Gold Ave SW,Suite 500,Albuquerque,87102,Energy,0,2445000,15,2.282412,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",379,35,1,2100,35001002100,21,Census Tract 21,G5020,S,1276195,0,35.0857393,-106.6501949, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,320, , ,L, , ,Gold,Ave,SW,320 Gold Ave SW, 
USA.StreetAddress,M,100,A,"123 Broadway Blvd SE, Albuquerque, New Mexico, 87102",StreetAddress,Albuquerque,87102,USA,0,-106.644874,35.082911,20140603,2014,603,Spa Enrichment Strategies,123 Broadway Blvd SE, ,Albuquerque,87102,Consumer Products & Services,2008,2102064,5,7.9028,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",379,35,1,2100,35001002100,21,Census Tract 21,G5020,S,1276195,0,35.0857393,-106.6501949, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,123,199,101,L, , ,Broadway,Blvd,SE,123 Broadway Blvd SE, 
USA.PointAddress,M,100,A,"2021 Girard Blvd SE, Albuquerque, New Mexico, 87106",PointAddress,Albuquerque,87106,USA,0,-106.613375,35.059079,20152136,2015,2136,Speridian Global Holdings,"2021 Girard Blvd SE, Suite 200", ,Albuquerque,87106,IT Services,2003,31427777,644,1.8314,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",394,35,1,1200,35001001200,12,Census Tract 12,G5020,S,11871558,10857,35.0514383,-106.6262814, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,2021, , ,L, , ,Girard,Blvd,SE,2021 Girard Blvd SE, 
USA.Postal,M,100,A,"87106, Albuquerque, New Mexico",Postal,Albuquerque,87106,USA,0,-106.609782,34.996731,20073577,2007,3576,Stride, , ,Albuquerque,87106,Consumer Products & Services,1988,6762807,32,0.8112,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",306,35,1,4001,35001004001,40.01,Census Tract 40.01,G5020,S,97434109,2076428,34.9934376,-106.6330738, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , 
USA.StreetAddress,M,100,A,"123 Broadway Blvd SE, Albuquerque, New Mexico, 87102",StreetAddress,Albuquerque,87102,USA,0,-106.644874,35.082911,20150342,2015,342,Urban Fresh Cosmetics,123 Broadway Blvd SE, ,Albuquerque,87102,Retail,2008,3100863,4,13.763,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",379,35,1,2100,35001002100,21,Census Tract 21,G5020,S,1276195,0,35.0857393,-106.6501949, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,123,199,101,L, , ,Broadway,Blvd,SE,123 Broadway Blvd SE, 
USA.StreetAddress,M,90.92,A,"1208 San Pedro Dr NE, Albuquerque, New Mexico, 87110",StreetAddress,Albuquerque,87110,USA,0,-106.577447,35.089457,20111295,2011,1296,Wellkeeper,1208 San Pedro NE #168, ,Albuquerque,87110,Energy,0,2700000,20,2.229665,1,35001,NM,Bernalillo County,35,10740,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM",373,35,1,601,35001000601,6.01,Census Tract 6.01,G5020,S,2429620,0,35.0919014,-106.5659628, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , ,1208,1200,1398,R, , ,San Pedro,Dr,NE,1208 San Pedro Dr NE, 
