Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON, , 
USA.PointAddress,M,100,A,"55 Green St, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.761574,43.079711,20132366,2013,2368,QA Cafe,55 Green Street, ,Portsmouth,3801,Telecommunications,2001,3128000,11,1.5262,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",144,33,15,69300,33015069300,693,Census Tract 693,G5020,S,2229775,764864,43.0838219,-70.7709731, , 
USA.PointAddress,M,100,A,"149 Epping Rd, Exeter, New Hampshire, 03833",PointAddress,Exeter,3833,USA,0,-70.970408,42.993252,20092793,2009,2794,TradeWinds Mechanical Services,149 Epping Road,N/A,Exeter,3833,Business Products & Services,1995,17169202,104,1.025,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",165,33,15,61001,33015061001,610.01,Census Tract 610.01,G5020,S,33801512,466438,42.9942433,-70.9806613, , 
USA.PointAddress,M,100,A,"23 High St, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.758127,43.077081,20152282,2015,2282,DeStefano Architects,23 High Street, ,Portsmouth,3801,Construction,1995,2022439,12,1.7027,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",167,33,15,69100,33015069100,691,Census Tract 691,G5020,S,1704351,806186,43.0716462,-70.7534802, , 
USA.PointAddress,M,100,A,"28 Deer St, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.759643,43.079395,20153644,2015,3644,Global Technical Talent,28 Deer Street,Suite 201,Portsmouth,3801,IT Services,1999,29021000,135,0.8541,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",167,33,15,69100,33015069100,691,Census Tract 691,G5020,S,1704351,806186,43.0716462,-70.7534802, , 
USA.PointAddress,M,100,A,"99 Bow St, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.756129,43.078807,20153568,2015,3568,LEGACY Supply Chain Services,"99 Bow Street, Suite 100E", ,Portsmouth,3801,Logistics & Transportation,1975,362600000,2700,0.888,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",167,33,15,69100,33015069100,691,Census Tract 691,G5020,S,1704351,806186,43.0716462,-70.7534802, , 
USA.PointAddress,M,100,A,"27 Congress St, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.758612,43.076666,20100664,2010,662,Mad*Pow,27 Congress Street, ,Portsmouth,3801,Advertising & Marketing,2000,3324388,17,4.602,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",167,33,15,69100,33015069100,691,Census Tract 691,G5020,S,1704351,806186,43.0716462,-70.7534802, , 
USA.PointAddress,M,100,A,"30 Penhallow St, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.756113,43.076905,20092930,2009,2931,PENSCO Trust,30 Penhallow Street,N/A,Portsmouth,3801,Financial Services,1989,17767483,65,0.954,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",167,33,15,69100,33015069100,691,Census Tract 691,G5020,S,1704351,806186,43.0716462,-70.7534802, , 
USA.PointAddress,M,100,A,"40 Congress St, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.758771,43.076543,20101480,2010,1478,TMSi Logistics,"40 Congress Street, 3rd Floor", ,Portsmouth,3801,Logistics & Transportation,1984,134600000,1200,1.953,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",167,33,15,69100,33015069100,691,Census Tract 691,G5020,S,1704351,806186,43.0716462,-70.7534802, , 
USA.PointAddress,M,100,A,"155 Fleet St, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.759097,43.076771,20151442,2015,1442,Vital,155 Fleet Street, ,Portsmouth,3801,Advertising & Marketing,2001,2115112,25,2.8688,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",167,33,15,69100,33015069100,691,Census Tract 691,G5020,S,1704351,806186,43.0716462,-70.7534802, , 
USA.PointAddress,M,98.93,A,"4 Merrill Industrial Dr, Hampton, Town of, New Hampshire, 03842",PointAddress,"Hampton, Town of",3842,USA,0,-70.845958,42.945623,20090894,2009,895,Ardent Concepts,4 Merrill Industrial Drive,Suite 102,Hampton Beach,3842,Computer Hardware,2003,2052906,12,3.376,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",170,33,15,65001,33015065001,650.01,Census Tract 650.01,G5020,S,20549681,345872,42.9504397,-70.8478311, , 
USA.PointAddress,M,100,A,"1 Merrill Industrial Dr, Hampton, New Hampshire, 03842",PointAddress,Hampton,3842,USA,0,-70.845855,42.945467,20120912,2012,912,Madison Components,1 Merrill Industrial Drive Building 19, ,Hampton,3842,Computer Hardware,2006,7891000,26,3.617,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",170,33,15,65001,33015065001,650.01,Census Tract 650.01,G5020,S,20549681,345872,42.9504397,-70.8478311, , 
USA.PointAddress,M,100,A,"254 N Broadway, Salem, New Hampshire, 03079",PointAddress,Salem,3079,USA,0,-71.236048,42.793243,20141733,2014,1733,RE/MAX Insight,254 N. Broadway,Suite 201,Salem,3079,Real Estate,2008,2613270,3,2.4069,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",183,33,15,100200,33015100200,1002,Census Tract 1002,G5020,S,8366151,216911,42.7953861,-71.2146232, , 
USA.PointAddress,M,100,A,"155 Main St, Salem, New Hampshire, 03079",PointAddress,Salem,3079,USA,0,-71.224035,42.782326,20142698,2014,2698,The Hype Agency,155 Main Street,155 Main Street,Salem,3079,Advertising & Marketing,2006,5115000,276,1.3904,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",183,33,15,100200,33015100200,1002,Census Tract 1002,G5020,S,8366151,216911,42.7953861,-71.2146232, , 
USA.PointAddress,M,100,A,"10 Main St, Newfields, New Hampshire, 03856",PointAddress,Newfields,3856,USA,0,-70.93269,43.041677,20153503,2015,3503,easyBackgrounds,10 Main Street,PO Box 952,Newfields,3856,Business Products & Services,2002,2640056,14,0.9155,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",190,33,15,67501,33015067501,675.01,Census Tract 675.01,G5020,S,44114733,1419196,43.0536908,-70.9573124, , 
USA.PointAddress,M,100,A,"230 Commerce Way, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.785206,43.090294,20153590,2015,3590,Adaptive Communications,230 Commerce Way,Suite 100,Portsmouth,3801,IT Services,1997,71369000,52,0.8784,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",210,33,15,107100,33015107100,1071,Census Tract 1071,G5020,S,3441151,22843,43.0887799,-70.786834, , 
USA.PointAddress,M,100,A,"155 Commerce Way, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.787333,43.091614,20142070,2014,2070,Direct Capital,155 Commerce Way,155 Commerce Way,Portsmouth,3801,Financial Services,1993,432800000,227,1.9432,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",210,33,15,107100,33015107100,1071,Census Tract 1071,G5020,S,3441151,22843,43.0887799,-70.786834, , 
USA.PointAddress,M,100,A,"230 Commerce Way, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.785206,43.090294,20100525,2010,523,NitroSecurity,230 Commerce Way, ,Portsmouth,3801,Security,1999,16300000,75,5.792,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",210,33,15,107100,33015107100,1071,Census Tract 1071,G5020,S,3441151,22843,43.0887799,-70.786834, , 
USA.StreetAddress,M,100,A,"2 International Dr, Portsmouth, New Hampshire, 03801",StreetAddress,Portsmouth,3801,USA,0,-70.808577,43.087966,20132287,2013,2289,Bean Group,2 International Drive,Suite 301,Portsmouth,3801,Real Estate,2003,14415078,17,1.5947,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",213,33,15,107400,33015107400,1074,Census Tract 1074,G5020,S,13918983,0,43.0628815,-70.8029563, , 
USA.PointAddress,M,100,A,"30 New Hampshire Ave, Portsmouth, New Hampshire, 03801",PointAddress,Portsmouth,3801,USA,0,-70.812547,43.085939,20100678,2010,676,Global Relief Technologies,30 New Hampshire Avenue, ,Portsmouth,3801,Software,2003,8712544,31,4.543,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",213,33,15,107400,33015107400,1074,Census Tract 1074,G5020,S,13918983,0,43.0628815,-70.8029563, , 
USA.StreetAddress,M,100,A,"2 International Dr, Portsmouth, New Hampshire, 03801",StreetAddress,Portsmouth,3801,USA,0,-70.808577,43.087966,20142700,2014,2700,The Bean Group,2 International Dr., ,Portsmouth,3801,Real Estate,2003,17993000,18,1.3895,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",213,33,15,107400,33015107400,1074,Census Tract 1074,G5020,S,13918983,0,43.0628815,-70.8029563, , 
USA.PointAddress,M,100,A,"2 Village Green Rd, Hampstead, New Hampshire, 03841",PointAddress,Hampstead,3841,USA,0,-71.154808,42.877912,20090445,2009,446,CommonPlaces e-Solutions,2 Village Green Road,Suite B-4,Hampstead,3841,IT Services,2003,2578980,24,5.808,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",239,33,15,104101,33015104101,1041.01,Census Tract 1041.01,G5020,S,16791736,180059,42.8732824,-71.1488862, , 
USA.StreetAddress,M,100,A,"26 Fox Run Rd, Newington, New Hampshire, 03801",StreetAddress,Newington,3801,USA,0,-70.808295,43.09996,20153224,2015,3224,Planet Fitness,26 Fox Run Rd, ,Newington,3801,Health,1992,279800000,818,1.0513,1,33015,NH,Rockingham County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",246,33,15,107500,33015107500,1075,Census Tract 1075,G5020,S,48206515,18487598,43.0501941,-70.8580762, , 
USA.PointAddress,M,100,A,"40 Maple St, Dover, New Hampshire, 03820",PointAddress,Dover,3820,USA,0,-70.878998,43.205446,20081926,2008,1921,Agility Mfg,40 Maple Street, ,Dover,3820,Manufacturing,1987,3839000,82,1.9395,1,33017,NH,Strafford County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",250,33,17,81500,33017081500,815,Census Tract 815,G5020,S,3870494,58920,43.2106935,-70.8824163, , 
USA.StreetAddress,M,100,A,"383 Central Ave, Dover, New Hampshire, 03820",StreetAddress,Dover,3820,USA,0,-70.874295,43.195835,20122176,2012,2176,RewardsNOW,383 Central Avenue,Suite 350,Dover,3820,Advertising & Marketing,1997,16949000,54,1.184,1,33017,NH,Strafford County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",253,33,17,81300,33017081300,813,Census Tract 813,G5020,S,3166078,75901,43.1898266,-70.8732868, , 
USA.StreetAddress,M,100,A,"383 Central Ave, Dover, New Hampshire, 03820",StreetAddress,Dover,3820,USA,0,-70.874295,43.195835,20091598,2009,1599,Sell My Timeshare Now,383 Central Ave.,Suite 260,Dover,3820,Real Estate,2003,8981017,164,2,1,33017,NH,Strafford County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",253,33,17,81300,33017081300,813,Census Tract 813,G5020,S,3166078,75901,43.1898266,-70.8732868, , 
USA.StreetAddress,M,100,A,"271 Locust St, Dover, New Hampshire, 03820",StreetAddress,Dover,3820,USA,0,-70.87608,43.18441,20122419,2012,2419,VXi,271 Locust St, ,Dover,3820,Telecommunications,1989,22232054,58,1.011,1,33017,NH,Strafford County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",253,33,17,81300,33017081300,813,Census Tract 813,G5020,S,3166078,75901,43.1898266,-70.8732868, , 
USA.StreetAddress,M,90.92,A,"1 Washington St, Dover, New Hampshire, 03820",StreetAddress,Dover,3820,USA,0,-70.871929,43.195254,20081635,2008,1631,Salient Surgical Technologies,One Washington Center,Suite 400,Dover,3820,Health,1999,29516000,148,2.3269,1,33017,NH,Strafford County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",254,33,17,81400,33017081400,814,Census Tract 814,G5020,S,4486317,1199841,43.1942291,-70.8459862, , 
USA.StreetAddress,M,100,A,"288 RT-125, Barrington, New Hampshire, 03825",StreetAddress,Barrington,3825,USA,0,-70.992135,43.226123,20092374,2009,2375,Turbocam International,288 Route 125,PO Box 830,Barrington,3825,Manufacturing,1985,54132048,215,1.287,1,33017,NH,Strafford County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",262,33,17,85000,33017085000,850,Census Tract 850,G5020,S,120699933,5024033,43.2155657,-71.0389797, , 
USA.PointAddress,M,100,A,"36 Industrial Way, Rochester, New Hampshire, 03867",PointAddress,Rochester,3867,USA,0,-70.998708,43.311383,20093392,2009,3393,eCoast Sales Solution,36 Industrial Way Suite #5,N/A,Rochester,3867,Business Products & Services,2000,10021992,140,0.736,1,33017,NH,Strafford County,33,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",264,33,17,84600,33017084600,846,Census Tract 846,G5020,S,30147602,653391,43.3096539,-71.0256175, , 
USA.StreetAddress,M,100,A,"177 Huntington Ave, Boston, Massachusetts, 02115",StreetAddress,Boston,2115,USA,0,-71.082546,42.344793,20110179,2011,180,Carbonite,177 Huntington Avenue, ,Boston,2115,IT Services,2005,38563000,163,16.90297,1,25025,MA,Suffolk County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",297,25,25,10500,25025010500,105,Census Tract 105,G5020,S,189911,10075,42.3445514,-71.0846274, , 
USA.StreetAddress,M,100,A,"177 Huntington Ave, Boston, Massachusetts, 02115",StreetAddress,Boston,2115,USA,0,-71.082546,42.344793,20121893,2012,1893,One Pica,177 Huntington Avenue,13th Floor,Boston,2115,IT Services,2002,2089000,16,1.446,1,25025,MA,Suffolk County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",297,25,25,10500,25025010500,105,Census Tract 105,G5020,S,189911,10075,42.3445514,-71.0846274, , 
USA.StreetAddress,M,100,A,"177 Huntington Ave, Boston, Massachusetts, 02115",StreetAddress,Boston,2115,USA,0,-71.082546,42.344793,20142682,2014,2682,Wayfair.com,177 Huntington Avenue,Suite 6000,Boston,2115,Retail,2002,915800000,1400,1.4014,1,25025,MA,Suffolk County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",297,25,25,10500,25025010500,105,Census Tract 105,G5020,S,189911,10075,42.3445514,-71.0846274, , 
USA.StreetAddress,M,100,A,"177 Huntington Ave, Boston, Massachusetts, 02115",StreetAddress,Boston,2115,USA,0,-71.082546,42.344793,20150567,2015,567,WordStream,177 Huntington Avenue,Floor 15,Boston,2115,Advertising & Marketing,2007,10073656,122,8.0583,1,25025,MA,Suffolk County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",297,25,25,10500,25025010500,105,Census Tract 105,G5020,S,189911,10075,42.3445514,-71.0846274, , 
USA.PointAddress,M,100,A,"428 Main St, Hudson, Massachusetts, 01749",PointAddress,Hudson,1749,USA,0,-71.547185,42.394707,20111893,2011,1893,Mark Altman & Associates,428 Main Street, ,Hudson,1749,Government Services,2001,4788601,28,1.363705,1,25017,MA,Middlesex County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",322,25,17,322100,25017322100,3221,Census Tract 3221,G5020,S,14080938,558313,42.3876562,-71.5186309, , 
USA.StreetAddress,M,100,A,"460 Belmont St, Brockton, Massachusetts, 02301",StreetAddress,Brockton,2301,USA,0,-71.038876,42.075754,20122541,2012,2540,Sullivan and Cogliano Training Centers,460 Belmont Street, ,Brockton,2301,Education,1993,8197218,90,0.953,1,25023,MA,Plymouth County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",338,25,23,510700,25023510700,5107,Census Tract 5107,G5020,S,2141970,0,42.0801783,-71.0383569, , 
USA.PointAddress,M,100,A,"75 Research Rd, Hingham, Massachusetts, 02043",PointAddress,Hingham,2043,USA,0,-70.91792,42.171866,20083944,2008,3939,Capital Fulfillment Group Inc,75 Research Road, ,Hingham,2043,Financial Services,2000,19925583,0,0.7526,1,25023,MA,Plymouth County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",341,25,23,501202,25023501202,5012.02,Census Tract 5012.02,G5020,S,30242631,587352,42.1975242,-70.8749058, , 
USA.PointAddress,M,100,A,"80 Research Rd, Hingham, Massachusetts, 02043",PointAddress,Hingham,2043,USA,0,-70.917993,42.171812,20081899,2008,1894,FlyPrivate,80 Research Rd., ,Hingham,2043,Logistics & Transportation,2002,12173082,25,1.972,1,25023,MA,Plymouth County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",341,25,23,501202,25023501202,5012.02,Census Tract 5012.02,G5020,S,30242631,587352,42.1975242,-70.8749058, , 
USA.StreetAddress,M,100,A,"25 Recreation Park Dr, Hingham, Massachusetts, 02043",StreetAddress,Hingham,2043,USA,0,-70.903701,42.179051,20143301,2014,3301,Karis Marketing Group,25 Recreation Park Dr. #108, ,Hingham,2043,Advertising & Marketing,2002,7416321,20,1.027,1,25023,MA,Plymouth County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",341,25,23,501202,25023501202,5012.02,Census Tract 5012.02,G5020,S,30242631,587352,42.1975242,-70.8749058, , 
USA.PointAddress,M,100,A,"99 Derby St, Hingham, Massachusetts, 02043",PointAddress,Hingham,2043,USA,0,-70.906843,42.180357,20083055,2008,3048,Oceanos Marketing,99 Derby Street,Suite 305,hingham,2043,Advertising & Marketing,2002,3767483,11,1.1592,1,25023,MA,Plymouth County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",341,25,23,501202,25023501202,5012.02,Census Tract 5012.02,G5020,S,30242631,587352,42.1975242,-70.8749058, , 
USA.PointAddress,M,100,A,"101 Accord Park Dr, Norwell, Massachusetts, 02061",PointAddress,Norwell,2061,USA,0,-70.887058,42.165743,20093281,2009,3282,Coler & Colantonio,101 Accord Park Drive, ,Norwell,2061,Environmental Services,1986,28400017,224,0.784,1,25023,MA,Plymouth County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",344,25,23,504101,25023504101,5041.01,Census Tract 5041.01,G5020,S,25159050,426784,42.1695061,-70.8357089, , 
USA.PointAddress,M,100,A,"45 Accord Park Dr, Norwell, Massachusetts, 02061",PointAddress,Norwell,2061,USA,0,-70.884097,42.168251,20102295,2010,2293,Cue Data Services,45 Accord Park Drive, ,Norwell,2061,Human Resources,1994,24884002,209,1.101,1,25023,MA,Plymouth County,25,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",344,25,23,504101,25023504101,5041.01,Census Tract 5041.01,G5020,S,25159050,426784,42.1695061,-70.8357089, , 
